Roles,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
Competed in Olympic Games,Male,Allen Tarwater•West,Allen•West,"2 August 1872 in Mobile, Alabama (USA)","31 August 1952 in Watch Hill, Rhode Island (USA)",United States,2801,,,,,,,,
Competed in Olympic Games,Male,"William J. ""B. J.""•Wallace",B. J.•Wallace,"18 May 1971 in Mobile, Alabama (USA)",,United States,3254,190 cm / 89 kg,"Mississippi State Bulldogs, Starkville (USA)",,,,,,
Competed in Olympic Games,Female,"Victoria Elaine ""Vickie""•Orr (-Wiley)",Vickie•Orr,"4 April 1967 in Hartselle, Alabama (USA)",,United States,5414,190 cm / 75 kg,"Auburn Tigers, Auburn, Alabama (USA)",,,,,,
Competed in Olympic Games,Male,Charles Wade•Barkley,Charles•Barkley,"20 February 1963 in Leeds, Alabama (USA)",,United States,5678,198 cm / 114 kg,"Phoenix Suns, Phoenix (USA)","Chuck, Sir Charles",,,,,
Competed in Olympic Games,Male,"James Ricardo ""Jim""•Forbes",Jim•Forbes,"18 July 1952 in Fort Rucker, Alabama (USA)","21 January 2022 in El Paso, Texas (USA)",United States,6125,203 cm / 91 kg,"UTEP Miners, El Paso (USA)",,,,,,
Competed in Olympic Games,Male,"Arthur Phillip ""Phil""•Baldwin",Phil•Baldwin,"4 April 1942 in Montgomery, Alabama (USA)","19 November 2017 in Muskegon Heights, Michigan (USA)",United States,8613,170 cm / 66 kg,,,,,,,
Competed in Olympic Games,Male,Evander•Holyfield,Evander•Holyfield,"19 October 1962 in Atmore, Alabama (USA)",,United States,8694,185 cm / 81 kg,Warren Boys' Club,The Real Deal,,,,,
Competed in Olympic Games,Male,"Clinton ""Clint""•Jackson",Clint•Jackson,"20 May 1954 in Evergreen, Alabama (USA)",,United States,8695,180 cm / 66 kg,,The Sherriff,,,,,
Competed in Olympic Games,Male,"Edwin Yancey ""Eddie""•Argo",Eddie•Argo,"22 September 1895 in Hollins, Alabama (USA)","10 March 1962 in Shreveport, Louisiana (USA)",United States,11563,,"US Army, (USA)",Ed,,,,,
Competed in Olympic Games,Male,William Dennis•Murphy,Dennis•Murphy,"24 October 1944 in Birmingham, Alabama (USA)",,United States,12469,186 cm / 64 kg,Birmingham Southern,,,,,,
Competed in Olympic Games,Male,"James E. ""Jim""•Copeland",Jim•Copeland,"18 March 1962 in Huntsville, Alabama (USA)",,United States,13991,180 cm / 70 kg,,The Alabama Slamma,,,,,
Competed in Olympic Games,Male,Ralph Phillip•Therrio,Ralph•Therrio,"12 January 1954 in Mobile, Alabama (USA)",,United States,16827,170 cm / 75 kg,,Crazy Horse,,,,,
Competed in Olympic Games,Male,Robert Henry•Thach,Robert•Thach,"9 November 1866 in Athens, Alabama (USA)","20 December 1924 in Birmingham, Alabama (USA)",United States,18161,,"Birmingham Country Club, Birmingham (USA)",,,,,,
Competed in Olympic Games,Male,George Charles•Oliver,George•Oliver,"18 January 1883 in Birmingham, Alabama (USA)","20 August 1965 in Tampa, Florida (USA)",United States,18186,,"Birmingham Country Club, Birmingham (USA)",,,,,,
Competed in Olympic Games,Female,Elaine Gayle•Cheris (Ingram-),Elaine•Cheris,"8 January 1946 in Dothan, Alabama (USA)",,United States,20992,172 cm / 55 kg,,,,,,,
Competed in Olympic Games,Male,Thomas Powers•Jeter,Thomas•Jeter,"25 August 1898 in Florence, Alabama (USA)","23 October 1979 in San Diego, California (USA)",United States,23725,,"US Navy, (USA)",,,,,,
Competed in Olympic Games,Male,"Michael Ranson ""Mike""•Lofton",Mike•Lofton,"10 December 1963 in Montgomery, Alabama (USA)",,United States,23740,185 cm / 79 kg,"Fencers Club, New York (USA)",,,Mika'il Sankofa,,,
Competed in Olympic Games • Other,Female,"Mariel Margaret ""Mia""•Hamm (-Corry, -Garciaparra)",Mia•Hamm,"17 March 1972 in Selma, Alabama (USA)",,United States,27678,165 cm / 56 kg,Washington Freedom,,,,,,
Competed in Olympic Games,Female,Reita Ethel•Clanton,Reita•Clanton,"30 July 1952 in Lafayette, Alabama (USA)",,United States,32924,180 cm / 65 kg,"National Team, (USA)",,,,,,
Competed in Olympic Games,Female,Susan Sharp•Broome,Susan•Broome,"14 July 1959 in Fort McClellan, Alabama (USA)",,United States,40439,185 cm / 70 kg,,,,,,,
Competed in Olympic Games,Female,Nancy Lynn•Napolski-Johnson,Nancy•Napolski-Johnson,"14 January 1974 in Phenix City, Alabama (USA)",,United States,44582,157 cm / 56 kg,,,,,,,
Competed in Olympic Games,Male,"Edwin Lamont ""Ed""•Anderson",Ed•Anderson,"26 November 1886 in Eutaw, Alabama (USA)","30 January 1943 in Atlanta, Georgia (USA)",United States,44599,173 cm,,,,,,,
Competed in Olympic Games,Female,Jennifer Kay Bellamy•Chandler,Jennifer•Chandler,"13 June 1959 in Langdale, Alabama (USA)",,United States,50985,168 cm / 52 kg,"Ron O'Brien Diving School, Columbus (USA)",,,,,,
Competed in Olympic Games,Female,"Angelina L. ""Angel""•Martino (Myers-, -Sims)",Angel•Martino,"25 April 1967 in Tuscaloosa, Alabama (USA)",,United States,51110,165 cm / 68 kg,Americus Blue Tide,,,,,,
Competed in Olympic Games,Male,Mark Edward•Lenzi,Mark•Lenzi,"4 July 1968 in Huntsville, Alabama (USA)","9 April 2012 in Greenville, North Carolina (USA)",United States,51463,165 cm / 66 kg,,The Tasmanian Devil,,,,,
Competed in Olympic Games,Male,Scott Eric•Tucker,Scott•Tucker,"18 February 1976 in Birmingham, Alabama (USA)",,United States,51596,188 cm / 81 kg,"Irvine Novaquatics, Irvine (USA)",,,,,,
Competed in Olympic Games,Female,"Kimberley Yvette ""Kim""•Oden",Kim•Oden,"6 May 1964 in Birmingham, Alabama (USA)",,United States,53256,190 cm / 69 kg,,,,,,,
